1,1,5,2025-03-19,2,"Good quality, but could be cheaper."
2,1,2,2025-11-05,5,Five stars for the quick delivery.
3,1,8,2023-07-05,5,The quality  is top-notch.
4,1,19,2023-05-07,4,Customer support was very helpful.
5,1,2,2023-09-30,5,Shipping was fast and  the item was well-packaged.
6,1,18,2024-01-06,4,Amazing value for the price.
7,1,18,2023-05-09,4,Amazing value for the price.
8,1,18,2025-05-25,1,I had a bad experience with this product.
9,1,15,2025-01-10,4,Shipping was fast and  the item was well-packaged.
10,1,17,2025-10-10,2,I had  a bad experience with this product.
11,1,4,2025-11-14,4,"Great purchase, very satisfied."
12,1,14,2023-03-22,2,Disappointed with the performance.
13,1,19,2024-10-04,5,"Great purchase, very satisfied."
14,2,15,2023-05-21,1,The product arrived late.
15,2,3,2023-05-05,1,The product arrived late.
16,2,15,2024-08-05,1,"Not satisfied, the product broke  after a week."
17,2,12,2023-12-11,4,The build quality  is impressive.
18,2,5,2024-05-22,4,The build quality  is impressive.
19,2,18,2024-07-23,2,The color was different from what was shown.
20,2,9,2025-04-30,2,"Not satisfied, the product broke after a week."
21,2,8,2023-11-06,4,Shipping was fast and the item was well-packaged.
22,2,1,2025-09-20,1,"The product  is okay, but the instructions were unclear."
23,2,5,2025-05-08,5,Amazing value  for the price.
24,2,17,2023-04-21,5,"Excellent product, highly recommend!"
25,2,13,2023-08-01,4,Customer support  was very helpful.
26,2,15,2023-11-29,4,Amazing value for the  price.
27,2,5,2023-07-27,2,"Terrible customer service,  would not buy again."
28,2,20,2025-02-09,5,"I love this product, will buy again!"
29,2,16,2023-09-09,5,The build quality is impressive.
30,2,10,2023-06-25,5,"Great purchase, very satisfied."
31,2,6,2025-11-23,5,"Excellent product,  highly recommend!"
32,2,17,2024-09-02,2,Disappointed with the performance.
33,2,9,2025-11-27,5,Shipping was fast and the item was well-packaged.
34,3,18,2025-10-26,5,Exceeded my expectations!
35,3,7,2024-05-05,1,"Average experience, nothing  special."
36,3,12,2023-03-01,2,The product arrived late.
37,3,7,2024-12-06,5,"Great purchase,  very satisfied."
38,3,8,2025-08-20,5,Exceeded my expectations!
39,3,20,2023-01-04,4,"Great purchase, very satisfied."
40,3,4,2025-03-06,1,"Average experience, nothing special."
41,3,6,2025-06-07,1,Not worth the  money.
